N,P,K,temperature,humidity,ph,rainfall,label
9,10,10,22.3551049,93.52211892,6.010391864,101.5164589,orange
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans
25,64,20,33.15122581,32.45974539,4.807776749,105.0380275,pigeonpeas
29,35,28,28.3471611,53.53903102,6.967417766,90.40260445,mango
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,coffee
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean
31,8,7,34.51465139,93.63812684,7.163245982,103.5684926,orange
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans
100,52,19,23.45969093,82.44777468,7.903528673,93.50153555,cotton
50,60,47,32.57720726,92.74889453,6.92791761,93.7942847,papaya
111,5,47,28.03306461,91.47355778,6.274452811,21.17924769,muskmelon
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
7,16,9,18.87957654,92.04304496,7.813916603,114.6659511,orange
3,58,21,25.36140526,46.82652785,9.160691747,55.60523179,mothbeans
31,136,197,31.11047251,83.34010951,5.653776058,71.43001582,grapes
58,67,45,38.72382798,91.72514851,6.702424548,62.62377075,papaya
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,jute
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton
8,127,196,27.02766138,83.17093908,5.833302165,70.95666003,grapes
5,74,21,16.24469193,21.35793891,5.591704014,66.97053257,kidneybeans
13,16,8,34.74004942,93.12316972,6.949838549,100.1967854,orange
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,mango
22,9,44,24.72235539,88.87651295,5.744361602,112.1926517,pomegranate
39,60,15,35.09357419,30.98685456,5.004074624,116.9106908,pigeonpeas
0,23,15,22.56664172,93.37488907,7.598729065,109.8585753,orange
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
32,55,52,37.58899717,91.99740365,6.9677596,159.6577388,papaya
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon
26,18,30,32.06097197,51.08494181,6.336234624,96.59816497,mango
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton
35,30,34,28.2974764,95.41122824,6.141502001,182.4482352,coconut
96,18,50,25.3310446,84.30533791,6.904241707,41.53218699,watermelon
27,71,24,31.46417866,48.17631461,7.064973419,165.405354,pigeonpeas
33,23,45,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,apple
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,mango
65,39,45,23.66805429,70.89000744,6.768001309,184.4633281,jute
13,8,12,25.16296632,92.54736032,7.105904818,114.3117197,orange
86,40,39,25.72100868,88.16513579,6.207459637,175.6086697,jute
27,56,22,19.91853092,20.70099804,5.833010958,108.6434544,kidneybeans
17,64,16,30.97758716,32.24914235,7.161797643,180.716828,pigeonpeas
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea
36,144,196,23.65167552,94.50528753,6.496934492,115.3611268,apple
70,68,55,42.84609252,94.63548176,6.691202286,78.8099639,papaya
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton
36,67,25,35.95176642,36.52780776,6.418062652,136.0456753,pigeonpeas
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango
25,143,200,23.80436344,92.80441624,6.024248787,100.6192543,apple
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
24,18,6,26.56608303,94.45239715,6.285312759,116.3796525,orange
23,62,19,16.51783455,20.4555596,5.609435128,98.77794225,kidneybeans
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,mungbean
35,18,26,31.99490489,50.84881347,5.279388967,97.38741498,mango
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon
104,23,47,26.98212846,86.70068316,6.770434148,42.91292205,watermelon
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram
99,40,32,24.18471151,69.94807345,7.045543056,163.2708732,coffee
118,33,30,24.13179691,67.22512329,6.362607851,173.3228386,coffee
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
40,24,25,28.70595247,50.44030129,5.445008416,95.8946444,mango
5,24,40,24.692258,93.87030088,6.297907579,104.6735454,pomegranate
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,mothbeans
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas
108,22,47,28.53545677,91.72742702,6.161123579,25.1290048,muskmelon
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,mungbean
107,31,31,23.17124551,52.97841162,6.766184468,153.1201644,coffee
24,73,20,19.63736208,32.31528909,4.608695247,176.4134092,pigeonpeas
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
65,62,51,31.53243779,90.87394933,6.511624841,207.0735119,papaya
4,59,19,26.25070298,67.62779652,7.621494566,40.8106299,lentil
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,orange
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,blackgram
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
101,75,50,26.59386409,81.40740301,6.242528278,109.9825551,banana
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
4,69,19,19.25100056,47.70351758,5.374358869,149.063196,pigeonpeas
17,64,18,36.75087487,58.25799145,6.07938452,124.6028153,pigeonpeas
110,39,18,24.54795322,75.39752705,7.766259769,63.88079866,cotton
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
36,56,20,25.4123765,49.66474269,7.437078236,31.87416982,mothbeans
117,30,50,24.90123934,87.20772913,6.744966312,46.59207341,watermelon
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,kidneybeans
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,grapes
98,7,45,27.79161808,92.51054946,6.157724816,26.85422624,muskmelon
18,12,8,12.59093977,91.81668769,6.206053072,119.3916718,orange
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
71,54,35,26.63952463,70.95705996,7.311077075,199.3355744,jute
86,40,33,26.1387869,52.26311691,7.432322234,136.3027766,coffee
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya
15,125,199,18.4269936,80.55625868,5.569230319,69.75734306,grapes
7,11,32,29.25902906,95.11294697,5.542169139,184.7624496,coconut
30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,coconut
56,57,48,31.56213762,93.0484859,6.506120752,63.62250788,papaya
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,6,46,28.61475136,94.22253035,6.39637861,28.98574189,muskmelon
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,grapes
17,16,14,16.39624284,92.18151927,6.625538653,102.944161,orange
80,52,39,26.41915161,76.85691248,7.165696848,197.2101782,jute
49,54,50,25.62446619,93.18240298,6.762522087,97.26336657,papaya
0,27,38,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate
68,52,49,24.42561272,92.27749066,6.577192175,63.35298768,papaya
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,mothbeans
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,mothbeans
18,55,23,21.9989826,56.31006755,6.98571967,136.8274312,pigeonpeas
32,138,197,9.535585543,80.73112694,5.908724337,69.44115171,grapes
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans
18,23,44,23.71028128,89.61794165,6.184400085,105.6499907,pomegranate
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,pigeonpeas
104,17,46,25.7131428,80.22972777,6.190015912,43.08961827,watermelon
87,14,48,29.69238699,92.58862544,6.606033244,29.1102594,muskmelon
18,36,23,24.01825377,53.76623369,7.214078621,35.03404425,mothbeans
102,25,50,28.20480805,92.91440379,6.099662369,20.36001144,muskmelon
18,19,29,27.59376845,92.48519606,6.206077742,162.8432736,coconut
118,18,52,28.04943594,90.83130708,6.562832807,20.76223014,muskmelon
89,25,54,24.69368934,85.56967628,6.353107393,48.99390828,watermelon
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,grapes
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
107,11,54,28.59052369,91.33617236,6.094016338,29.44008034,muskmelon
1,30,10,11.89925671,91.34663797,7.291405641,103.5771468,orange
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize
27,63,19,20.93409877,21.1893007,5.562201934,133.1914419,kidneybeans
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
