N,P,K,temperature,humidity,ph,rainfall,label
31,62,52,33.7960155,93.00754254,6.99104104,182.026807,papaya
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange
23,35,18,26.4908332,47.36534833,5.414492777,36.99362831,mothbeans
114,40,17,24.32630461,80.13456404,6.363406102,69.45072055,cotton
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas
99,16,30,23.52652084,65.44340921,6.392791654,186.1728203,coffee
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
9,38,25,34.58561471,50.34035336,5.497946899,100.3060719,mango
21,134,202,10.72302459,80.02130636,6.425419926,65.2982112,grapes
28,122,197,19.89363946,82.73366439,5.856575335,69.66256816,grapes
108,23,51,26.84366082,83.85039964,6.106500787,40.228644,watermelon
86,40,39,25.72100868,88.16513579,6.207459637,175.6086697,jute
93,22,48,29.12533739,91.52291141,6.776987974,21.90440445,muskmelon
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
35,68,45,42.93605359,90.09448142,6.612429546,234.8466111,papaya
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,watermelon
22,144,196,21.91191314,91.68748063,6.499226821,117.0761277,apple
13,7,43,18.20230419,91.12282162,7.013481515,109.6623974,pomegranate
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,watermelon
40,120,197,23.80593812,92.48879468,5.889480679,119.6335548,apple
16,7,8,22.79196751,90.60901895,6.420457311,116.5084074,orange
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
16,14,30,29.70931288,96.30484325,6.37466756,209.8453993,coconut
5,15,38,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
110,39,25,22.60612115,77.34264002,7.208795456,75.13617229,cotton
8,28,30,25.51618488,94.33465411,6.015672239,135.1272491,coconut
34,29,8,31.87859192,91.15248149,6.450640306,105.3437825,orange
32,25,9,10.35609594,93.75652041,7.796034006,101.1456947,orange
38,135,203,23.76121837,93.661643,5.965551311,100.825956,apple
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,watermelon
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,mungbean
65,39,45,23.66805429,70.89000744,6.768001309,184.4633281,jute
41,69,82,20.02381489,16.63294455,6.715587232,68.97806542,chickpea
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,lentil
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,jute
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean
23,23,30,32.82141065,47.45553843,4.755273631,90.89173106,mango
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,mungbean
51,57,55,24.70528368,90.14732171,6.676407337,108.4103158,papaya
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,pigeonpeas
16,35,31,32.27652024,50.19368841,5.316875978,95.99487068,mango
111,5,55,26.283443,84.42478917,6.520663422,50.78669728,watermelon
