N,P,K,temperature,humidity,ph,rainfall,label
82,46,41,23.3250131,79.79609448,6.581693772,187.3096148,jute
62,49,37,24.21744605,82.85284045,7.479248124,166.1365886,jute
47,46,52,23.19451074,91.40301608,6.502289473,206.3999208,papaya
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram
40,140,195,14.97846952,80.49979873,6.294395676,71.63437433,grapes
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans
31,11,45,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,cotton
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
61,64,52,43.30204933,92.83405443,6.641098708,110.562229,papaya
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,mango
17,30,27,29.03065024,90.79093862,5.894027065,205.5720367,coconut
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,mothbeans
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,grapes
37,52,47,43.08022702,93.90305729,6.54277684,211.8529059,papaya
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean
20,29,10,29.07412717,93.27189064,7.36549204,100.7896871,orange
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,pigeonpeas
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,mungbean
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram
19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans
28,67,21,21.79792649,63.73086065,6.250994223,46.62370222,lentil
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,mothbeans
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram
26,18,27,27.45907759,92.90736493,5.836075368,142.1430003,coconut
25,21,11,32.23797837,90.15406807,6.460044778,104.7052254,orange
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
24,61,17,22.6371424,65.44544859,6.233269045,38.30411077,lentil
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,lentil
15,14,8,10.01081312,90.22399223,6.22094286,119.3941064,orange
37,72,18,18.87614998,24.54038287,5.724242065,105.4120514,kidneybeans
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram
2,30,30,26.00175125,94.79998418,6.331051715,209.540094,coconut
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,mungbean
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
56,76,16,28.27265858,61.18956161,7.513151076,63.29900785,blackgram
