N,P,K,temperature,humidity,ph,rainfall,Label
90.0,39.0,43.0,24.44743944,82.286484,6.7693455,190.9684885,jute
109.0,26.0,45.0,28.27973674,90.38971208,6.224535449,21.58992507,muskmelon
0.0,26.0,31.0,25.0707247,95.02156793,5.547933273,192.9036306,coconut
29.0,121.0,196.0,22.84852833,94.32130209,6.079497202,123.5977843,apple
112.0,54.0,15.0,25.46228792,81.56641891,6.175492306,76.88582484,cotton
29.0,144.0,204.0,22.43324518,92.48667725,5.800448951,119.1025189,apple
20.0,20.0,10.0,11.86631922,93.68394562,6.976997772,106.060149,orange
86.0,18.0,45.0,28.96586565,90.71832938,6.566759102,22.25838137,muskmelon
7.0,73.0,25.0,27.52185591,63.13215259,7.28805662,45.20841071,lentil
44.0,57.0,53.0,42.30495821,90.51431779,6.93172108,74.876786,papaya
36.0,140.0,198.0,23.34386401,91.47684705,6.28188384,104.4267991,apple
8.0,45.0,15.0,28.09568993,60.9835384,4.61136408,33.84110759,mothbeans
120.0,60.0,15.0,22.31871914,83.86129998,7.288377241,65.35747011,cotton
54.0,62.0,80.0,17.48911699,16.39055394,7.489545074,79.45758333,chickpea
58.0,55.0,47.0,26.05375792,93.69111672,6.742490027,240.6863901,papaya
116.0,38.0,34.0,23.29250318,50.04557009,6.020947179,183.468585,coffee
16.0,71.0,24.0,18.33124824,38.40975482,4.946369874,139.6483317,pigeonpeas
39.0,73.0,24.0,25.65842532,61.18235808,7.22405917,69.28607828,blackgram
9.0,66.0,21.0,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas
27.0,139.0,205.0,22.48403042,93.40819246,5.772179946,105.5473627,apple
129.0,47.0,20.0,24.41212325,80.80343786,6.281913858,98.60457373,cotton
24.0,142.0,202.0,22.53779727,91.48135786,5.710819862,101.8474768,apple
89.0,54.0,38.0,24.51588066,83.5352163,6.685346424,230.4462359,rice
7.0,126.0,203.0,16.76201707,82.00335557,5.662140095,73.28712806,grapes
84.0,21.0,55.0,28.47090661,94.79453182,6.494251024,21.08484101,muskmelon
70.0,65.0,52.0,30.42012134,93.12659793,6.583528529,75.95295,papaya
28.0,45.0,23.0,29.65021184,80.29868321,6.489259136,56.76278363,mungbean
41.0,78.0,21.0,25.19857725,60.37332688,6.581313137,70.88787207,blackgram
3.0,141.0,197.0,21.98141856,91.12719303,6.142803397,115.4789148,apple
30.0,122.0,197.0,21.37784654,92.72043743,5.573241391,106.1417017,apple
95.0,75.0,50.0,28.08166093,75.26429821,5.623615687,118.2761894,banana
81.0,36.0,38.0,23.76554749,87.98329901,6.334837865,150.3166152,jute
40.0,126.0,201.0,11.36300891,80.03100049,6.116982944,71.18289431,grapes
28.0,10.0,30.0,29.8690834,91.14723422,6.305740522,192.7678575,coconut
67.0,41.0,40.0,25.848795,87.81661683,7.333143205,152.6194403,jute
14.0,131.0,198.0,33.4641162,83.86742974,5.562790949,67.92204319,grapes
35.0,48.0,15.0,27.10818093,87.4512669,6.981758362,55.03723979,mungbean
